h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson,biochar_suitability_score,soil_quality_index,suitability_grade,color_hex,recommendation,property_ratings_moisture,property_scores_moisture,property_ratings_soc,property_scores_soc,property_ratings_ph,property_scores_ph,property_ratings_temperature,property_scores_temperature,suitability_score
858164bbfffffff,2.7059948,2.5567603,0.20987132,4.220515,4.225978,300.8842,-50.72247496407313,-12.607164664965987,4704,"[[-50.6767828689557, -12.691414077280854], [-50.62584868498643, -12.612172252033968], [-50.67155018309195, -12.527954541970358], [-50.76813760691367, -12.523008073426157], [-50.81904349123582, -12.602240070329577], [-50.773390380501446, -12.686428365768469]]",77.78,22.22,High Suitability,#d32f2f,Very suitable – biochar highly recommended,Poor,1.0,Very Poor,0.0,Poor,1.0,Moderate,2.0,7.7780000000000005
858164c3fffffff,0.0,0.0,,0.0,0.0,,-50.22974101935484,-12.797116993548387,155,"[[-50.10121663944263, -12.884189956073861], [-50.05018663059342, -12.804824442392462], [-50.09610326312698, -12.720641693098866], [-50.19300378222617, -12.71585261483812], [-50.24400793559297, -12.795209656903232], [-50.198137557057684, -12.879364250162672]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
858164c7fffffff,0.0,0.0,,0.0,0.0,,-50.29496810669078,-12.710856694168173,4424,"[[-50.24400793559297, -12.795209656903232], [-50.19300378222617, -12.71585261483812], [-50.23886512810881, -12.631647293496933], [-50.335683976621205, -12.626827421828066], [-50.38666166815994, -12.706175563161903], [-50.34084710407411, -12.790352478252949]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
858164cffffffff,0.0,0.0,,0.0,0.0,,-50.228100516853935,-12.63305075280899,89,"[[-50.09610326312698, -12.720641693098866], [-50.04508461306538, -12.641188731346134], [-50.0909921717184, -12.556955515187598], [-50.187872299305674, -12.552203156742912], [-50.23886512810881, -12.631647293496933], [-50.19300378222617, -12.71585261483812]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
858164d3fffffff,0.0,0.0,,0.0,0.0,,-50.23144974576271,-12.961052805084746,236,"[[-50.106332302116385, -13.04759781269104], [-50.05529093023251, -12.968320945046093], [-50.10121663944263, -12.884189956073861], [-50.198137557057684, -12.879364250162672], [-50.249153039198305, -12.958632997813218], [-50.203273625253544, -13.042735572857431]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
858164d7fffffff,0.0,0.0,,0.0,0.0,,-50.298541756589145,-12.874374363012182,4515,"[[-50.249153039198305, -12.958632997813218], [-50.198137557057684, -12.879364250162672], [-50.24400793559297, -12.795209656903232], [-50.34084710407411, -12.790352478252949], [-50.39183608978752, -12.869612678862518], [-50.34601253457756, -12.953738606695822]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85816503fffffff,2.9006186,2.899339,0.15618926,5.134677,5.134037,300.89453,-51.4212688063553,-11.833664666453402,4689,"[[-51.375881848310264, -11.917996730435927], [-51.32511716843272, -11.838638711584569], [-51.37051044388224, -11.754257912745569], [-51.466617686177166, -11.749265233987575], [-51.517351193508354, -11.828610549564944], [-51.47200875658569, -11.912961248523057]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
85816507fffffff,3.2102904,3.0663962,0.14819601,5.197737,5.191375,300.81104,-51.56264667805294,-11.744223834329633,4684,"[[-51.517351193508354, -11.828610549564944], [-51.466617686177166, -11.749265233987575], [-51.51195149851538, -11.664874456866837], [-51.60796760779898, -11.659859336003521], [-51.65866936277792, -11.73919151797461], [-51.61338688560252, -11.823551955771032]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
8581650bfffffff,2.2161875,2.2385516,0.17243335,5.098019,5.0984025,301.11084,-51.27434041235357,-11.759257758679446,4695,"[[-51.22891982679504, -11.843608097386808], [-51.17813562902817, -11.764154458239615], [-51.22357919967577, -11.679744075261924], [-51.319756799033705, -11.674816916694176], [-51.37051044388224, -11.754257912745569], [-51.32511716843272, -11.838638711584569]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
8581650ffffffff,2.525149,2.5571184,0.15858333,5.1026425,5.101364,301.0049,-51.41584111530264,-11.66982440942029,4692,"[[-51.37051044388224, -11.754257912745569], [-51.319756799033705, -11.674816916694176], [-51.36514140651123, -11.590396316140449], [-51.46122898912932, -11.58544653620046], [-51.51195149851538, -11.664874456866837], [-51.466617686177166, -11.749265233987575]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
85816513fffffff,3.1146212,3.1568837,0.15422988,5.1054006,5.102071,300.75937,-51.4266289923159,-11.997271220490928,4685,"[[-51.38125562126652, -12.081610231406867], [-51.33047990245257, -12.002336409197959], [-51.375881848310264, -11.917996730435927], [-51.47200875658569, -11.912961248523057], [-51.52275326573107, -11.992222738198794], [-51.477402201827665, -12.076532043885855]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
85816517fffffff,3.4598463,3.4367793,0.1471579,5.11384,5.1119394,300.6956,-51.56809155040581,-11.907899144169159,4682,"[[-51.52275326573107, -11.992222738198794], [-51.47200875658569, -11.912961248523057], [-51.517351193508354, -11.828610549564944], [-51.61338688560252, -11.823551955771032], [-51.66409960497184, -11.90280068437858], [-51.6188085468625, -11.987120769425403]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
8581651bfffffff,2.255809,2.2660413,0.16886728,5.094777,5.09369,300.97427,-51.279656546152204,-11.923026773182691,4691,"[[-51.23426281215321, -12.007347926980545], [-51.183467542579045, -11.927977635359321], [-51.22891982679504, -11.843608097386808], [-51.32511716843272, -11.838638711584569], [-51.375881848310264, -11.917996730435927], [-51.33047990245257, -12.002336409197959]]",75.0,25.0,Moderate Suitability,#f57c00,Suitable – biochar recommended,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,7.5
