h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson
878b84494ffffff,3.2934783,3.3804348,0.23220046,5.0554347,5.053261,298.46027,-55.824533934782615,-13.112766739130436,92,"[[-55.81810910855681, -13.124360368055108], [-55.81099668135118, -13.113414270578861], [-55.8172166317151, -13.101489693817467], [-55.83054767186577, -13.100512105316545], [-55.83765910909288, -13.111457884486633], [-55.831440496445325, -13.12338157048788]]"
878b84495ffffff,3.590909,3.715909,0.23259252,5.189773,5.1875,298.46924,-55.84376967045455,-13.099682693181819,88,"[[-55.83765910909288, -13.111457884486633], [-55.83054767186577, -13.100512105316545], [-55.83676613744115, -13.088587582010934], [-55.85009470170384, -13.087609729324182], [-55.857205147552314, -13.098555189078336], [-55.850988020813865, -13.11047882095928]]"
878b84496ffffff,3.675,3.5875,0.23293547,5.20625,5.2025003,298.4585,-55.804861362500006,-13.1014512,80,"[[-55.79766316768778, -13.11439159241808], [-55.79054995269211, -13.103443129770158], [-55.796771239506455, -13.091517663601353], [-55.810104405163855, -13.09054154951182], [-55.8172166317151, -13.101489693817467], [-55.81099668135118, -13.113414270578861]]"
878b84498ffffff,4.175824,4.0439563,0.23512852,5.3164835,5.3076925,298.49063,-55.86140272527472,-13.04110701098901,91,"[[-55.85541826895016, -13.052812461733387], [-55.848308223872976, -13.041862916062211], [-55.85452490984664, -13.029936791864829], [-55.867850301525806, -13.02896110407001], [-55.87495935409081, -13.039910326918434], [-55.86874400778554, -13.051835560408295]]"
878b84499ffffff,3.6153846,3.3076923,0.23546828,5.230769,5.230769,298.49918,-55.88114604395604,-13.02785443956044,91,"[[-55.87495935409081, -13.039910326918434], [-55.867850301525806, -13.02896110407001], [-55.87406550106003, -13.017035046341956], [-55.88738841267014, -13.016059102854939], [-55.89449647132617, -13.027008001769351], [-55.888282612577434, -13.038933168128677]]"
878b8449affffff,4.173913,4.021739,0.23587826,5.073913,5.070652,298.48895,-55.84108448913043,-13.03067347826087,92,"[[-55.83498035449315, -13.042838345692855], [-55.82786951880859, -13.03188643893633], [-55.83408754318813, -13.019959425385549], [-55.84741506514342, -13.018985207968418], [-55.85452490984664, -13.029936791864829], [-55.848308223872976, -13.041862916062211]]"
878b8449bffffff,4.010989,3.813187,0.23621424,5.091209,5.09011,298.4972,-55.860761076923076,-13.018204978021979,91,"[[-55.85452490984664, -13.029936791864829], [-55.84741506514342, -13.018985207968418], [-55.853631604202334, -13.007058260225621], [-55.866956648736505, -13.006083786417724], [-55.87406550106003, -13.017035046341956], [-55.867850301525806, -13.02896110407001]]"
878b8449cffffff,3.8043478,3.673913,0.23404779,5.301087,5.2956524,298.48438,-55.862394978260866,-13.063725586956522,92,"[[-55.85631168151726, -13.075685263059903], [-55.849201436058344, -13.064737758770534], [-55.85541826895016, -13.052812461733387], [-55.86874400778554, -13.051835560408295], [-55.87585326059978, -13.062782743023742], [-55.86963776752006, -13.074707148662192]]"
878b8449dffffff,3.9230769,3.8791208,0.23437732,5.167033,5.159341,298.49307,-55.882108527472525,-13.050657824175824,91,"[[-55.87585326059978, -13.062782743023742], [-55.86874400778554, -13.051835560408295], [-55.87495935409081, -13.039910326918434], [-55.888282612577434, -13.038933168128677], [-55.895390871350116, -13.049880027959727], [-55.8891768659741, -13.061804369388923]]"
878b8449effffff,4.411111,4.1666665,0.23476717,5.3100004,5.311111,298.48215,-55.84219762222222,-13.054043255555555,90,"[[-55.83587321924269, -13.06571440015805], [-55.828762183051765, -13.054764532775401], [-55.83498035449315, -13.042838345692855], [-55.848308223872976, -13.041862916062211], [-55.85541826895016, -13.052812461733387], [-55.849201436058344, -13.064737758770534]]"
878b844a0ffffff,4.411111,4.3,0.2291449,5.1844444,5.1833334,298.4748,-55.90597793333333,-13.152059433333335,90,"[[-55.899863674014156, -13.164197016210819], [-55.89275441454181, -13.15326039905132], [-55.898969006460895, -13.14133939343726], [-55.912291515384446, -13.140355901168697], [-55.919399778756436, -13.151292200176485], [-55.9131865296013, -13.163212309629136]]"
878b844a1ffffff,5.107527,5.5698924,0.22938319,5.039785,5.0419354,298.48392,-55.92569259139785,-13.139636010752689,93,"[[-55.919399778756436, -13.151292200176485], [-55.912291515384446, -13.140355901168697], [-55.918504618042604, -13.128434951667671], [-55.93182464049053, -13.127451198024426], [-55.93893190636814, -13.138387177773962], [-55.93272014758789, -13.150307230449611]]"
878b844a2ffffff,4.9891305,5.2173915,0.22995113,4.83587,4.8445654,298.47052,-55.885780576086965,-13.142377108695653,92,"[[-55.879429421504945, -13.154243627469663], [-55.872319367616, -13.143304637294051], [-55.878535301039534, -13.131382736867433], [-55.891859947144, -13.130400721453455], [-55.898969006460895, -13.14133939343726], [-55.89275441454181, -13.15326039905132]]"
878b844a3ffffff,3.4597702,3.4252872,0.23026104,5.045977,5.045977,298.47974,-55.90521901149425,-13.129123126436781,87,"[[-55.898969006460895, -13.14133939343726], [-55.891859947144, -13.130400721453455], [-55.898074392422224, -13.118478876475768], [-55.911396554693326, -13.11749659898303], [-55.918504618042604, -13.128434951667671], [-55.912291515384446, -13.140355901168697]]"
878b844a4ffffff,4.2608695,4.2065215,0.22799774,5.0880437,5.079348,298.4702,-55.90709107608696,-13.17540477173913,92,"[[-55.900758395086385, -13.187051738054947], [-55.89364893545082, -13.176117178858375], [-55.899863674014156, -13.164197016210819], [-55.9131865296013, -13.163212309629136], [-55.920294993003736, -13.174146551820886], [-55.91408159734825, -13.18606581762385]]"
878b844a5ffffff,4.0,3.912088,0.22826985,5.202198,5.1934066,298.4795,-55.926530615384614,-13.162379604395605,91,"[[-55.920294993003736, -13.174146551820886], [-55.9131865296013, -13.163212309629136], [-55.919399778756436, -13.151292200176485], [-55.93272014758789, -13.150307230449611], [-55.93982761336312, -13.161241154530742], [-55.93361570822984, -13.173160366474093]]"
878b844a6ffffff,4.688889,5.1,0.22885361,4.936667,4.9466667,298.4656,-55.8866892,-13.164885355555557,90,"[[-55.88032359547039, -13.177101619818393], [-55.87321334129331, -13.166164685613769], [-55.879429421504945, -13.154243627469663], [-55.89275441454181, -13.15326039905132], [-55.899863674014156, -13.164197016210819], [-55.89364893545082, -13.176117178858375]]"
878b844a8ffffff,4.9333334,4.9,0.23073928,5.138889,5.138889,298.4975,-55.94435601111112,-13.103824866666665,90,"[[-55.9380362529211, -13.115530308218379], [-55.930929186933405, -13.104592275940238], [-55.93714065301765, -13.092670552607913], [-55.95045784053872, -13.09168775838041], [-55.9575639077725, -13.10262546914478], [-55.95135378653446, -13.114546295674941]]"
878b844a9ffffff,6.6629214,6.516854,0.23096085,5.425843,5.426966,298.50613,-55.96381840449439,-13.09078782022472,89,"[[-55.9575639077725, -13.10262546914478], [-55.95045784053872, -13.09168775838041], [-55.95666781557774, -13.079766101242393], [-55.969982512188814, -13.07878305235683], [-55.97708757927797, -13.089720440500141], [-55.97087895019564, -13.101641200174607]]"
878b844aaffffff,3.6774194,3.6236558,0.2316398,5.02043,5.0225806,298.4936,-55.92354340860215,-13.093416193548386,93,"[[-55.91760951085787, -13.105574813037137], [-55.910501647523574, -13.094634409818045], [-55.9167144571979, -13.08271179103298], [-55.93003378691211, -13.081730470944136], [-55.93714065301765, -13.092670552607913], [-55.930929186933405, -13.104592275940238]]"
878b844abffffff,4.236559,4.225806,0.23184575,5.1322584,5.1301074,298.50232,-55.94358647311828,-13.081003913978494,93,"[[-55.93714065301765, -13.092670552607913], [-55.93003378691211, -13.081730470944136], [-55.9362451066534, -13.069807917691826], [-55.949561948093255, -13.068826342241993], [-55.95666781557774, -13.079766101242393], [-55.95045784053872, -13.09168775838041]]"
878b844acffffff,6.340909,6.2954545,0.22963244,5.4249997,5.4249997,298.4929,-55.945085318181825,-13.12658105681818,88,"[[-55.93893190636814, -13.138387177773962], [-55.93182464049053, -13.127451198024426], [-55.9380362529211, -13.115530308218379], [-55.95135378653446, -13.114546295674941], [-55.95846005352528, -13.1254819550597], [-55.952249786084856, -13.137401947377306]]"
878b844adffffff,5.766667,5.633333,0.2298631,5.375556,5.375556,298.50177,-55.96456811111111,-13.113356922222222,90,"[[-55.95846005352528, -13.1254819550597], [-55.95135378653446, -13.114546295674941], [-55.9575639077725, -13.10262546914478], [-55.97087895019564, -13.101641200174607], [-55.97798421690887, -13.112576538088101], [-55.97177544177153, -13.124496466467674]]"
878b844aeffffff,5.3297873,5.244681,0.23051375,5.111702,5.108511,298.48865,-55.924618,-13.116526,94,"[[-55.918504618042604, -13.128434951667671], [-55.911396554693326, -13.11749659898303], [-55.91760951085787, -13.105574813037137], [-55.930929186933405, -13.104592275940238], [-55.9380362529211, -13.115530308218379], [-55.93182464049053, -13.127451198024426]]"
878b844b0ffffff,3.7582417,3.8791208,0.23040916,4.98022,4.986813,298.4574,-55.84558357142858,-13.14507965934066,91,"[[-55.83944521277365, -13.157189824273935], [-55.832333374479084, -13.146248145914898], [-55.83855213420227, -13.134325300825662], [-55.85188139339275, -13.133345026917366], [-55.85899224004368, -13.144286388153668], [-55.8527748194449, -13.156208340445328]]"
878b844b1ffffff,4.4395604,4.4175825,0.23074038,4.8131866,4.8131866,298.46655,-55.86517862637362,-13.132493395604396,91,"[[-55.85899224004368, -13.144286388153668], [-55.85188139339275, -13.133345026917366], [-55.85809866705966, -13.121422233028033], [-55.87142544743092, -13.120441693862055], [-55.878535301039534, -13.131382736867433], [-55.872319367616, -13.143304637294051]]"
878b844b2ffffff,3.2025316,3.164557,0.23113473,5.058228,5.05443,298.45456,-55.826471379746835,-13.134776683544303,79,"[[-55.819001638841435, -13.147228152088802], [-55.8118890109736, -13.13628410459099], [-55.81810910855681, -13.124360368055108], [-55.831440496445325, -13.12338157048788], [-55.83855213420227, -13.134325300825662], [-55.832333374479084, -13.146248145914898]]"
878b844b3ffffff,3.1573033,3.1685393,0.23150888,5.0685396,5.0674157,298.46326,-55.84479161797753,-13.12222882022472,89,"[[-55.83855213420227, -13.134325300825662], [-55.831440496445325, -13.12338157048788], [-55.83765910909288, -13.111457884486633], [-55.850988020813865, -13.11047882095928], [-55.85809866705966, -13.121422233028033], [-55.85188139339275, -13.133345026917366]]"
