municipality_with_state,municipality_name,state_abbrev,Pineapple* (ha),Acai (ha),Alfalfa (hay) (ha),Tree cotton (seed cotton) (ha),Tree cotton (seed cotton) (ton),Residue tree cotton (seed cotton) (ton),Upland cotton (seed cotton) (ha),Upland cotton (seed cotton) (ton),Residue upland cotton (seed cotton) (ton),Garlic (ha),Peanut (in shell) (ha),Rice (paddy) (ha),Rice (paddy) (ton),Residue rice (paddy) (ton),Oats (grain) (ha),Oats (grain) (ton),Residue oats (grain) (ton),Olive (ha),Banana (bunch) (ha),Sweet potato (ha),Potato (ha),Rubber (coagulated latex) (ha),Rubber (liquid latex) (ha),Cocoa (bean) (ha),Coffee (green) total (ha),Coffee (green) total (ton),Residue coffee (green) total (ton),"Coffee (Arabica, green) (ha)","Coffee (Arabica, green) (ton)","Residue coffee (Arabica, green) (ton)","Coffee (Canephora/Robusta, green) (ha)","Coffee (Canephora/Robusta, green) (ton)","Residue coffee (Canephora/Robusta, green) (ton)",Cashew (fruit) (ha),Sugarcane (ha),Forage cane (ha),Persimmon (ha),Cashew nut (ha),Onion (ha),Rye (grain) (ha),Rye (grain) (ton),Barley (grain) (ha),Barley (grain) (ton),Residue barley (grain) (ton),Tea (green leaf) (ha),Coconut (baía)* (ha),Oil palm (bunch) (ha),Yerba mate (green leaf) (ha),Pea (grain) (ha),Fava bean (grain) (ha),Beans (dry grain) (ha),Fig (ha),Tobacco (leaf) (ha),Sunflower (grain) (ha),Guava (ha),Guarana (seed) (ha),Jute (fiber) (ha),Orange (ha),Lemon (ha),Flax (seed) (ha),Apple (ha),Mallow (fiber) (ha),Papaya (ha),Castor bean (ha),Cassava (ha),Mango (ha),Passion fruit (ha),Quince (ha),Watermelon (ha),Melon (ha),Corn (grain) (ha),Corn (grain) (ton),Residue corn (grain) (ton),Walnut (dried fruit) (ha),Heart of palm (ha),Pear (ha),Peach (ha),Black pepper (ha),Ramie (fiber) (ha),Sisal or agave (fiber) (ha),Soybean (grain) (ha),Soybean (grain) (ton),Residue soybean (grain) (ton),Sorghum (grain) (ha),Tangerine (ha),Tomato (ha),Wheat (grain) (ha),Wheat (grain) (ton),Residue wheat (grain) (ton),Triticale (grain) (ha),Triticale (grain) (ton),Residue triticale (grain) (ton),Tung (dry fruit) (ha),Annatto (seed) (ha),Grapes (ha)
Planaltina do Paraná (PR),Planaltina do Paraná,PR,,,,,0.0,0.0,,0.0,0.0,,,1230.0,8532.377376,3881.805087,,0.0,0.0,,,,,,,,5.0,9.297,1.67346,5.0,9.297,1.67346,,0.0,0.0,,1669.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,48.0,,,,,,,,,,,,,,1060.0,,,,2.0,,600.0,3547.828417,2031.263881,,,,,,,,750.0,2568.98846,1739.637701,84.0,,,,0.0,0.0,,0.0,0.0,,,
Planalto (PR),Planalto,PR,,,,,0.0,0.0,,0.0,0.0,1.0,3.0,1.0,6.936892176,3.155939095,30.0,51.47343511,59.70918473,,9.0,,1.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,37.0,,2.0,,2.0,,0.0,,0.0,0.0,,,,30.0,,,780.0,1.0,68.0,,,,,15.0,3.0,,,,1.0,,170.0,,,,10.0,5.0,3450.0,20400.0134,11679.76732,,,1.0,2.0,,,,14200.0,48639.51484,32937.14048,,10.0,2.0,7800.0,18105.09927,30054.46478,,0.0,0.0,,,27.0
Ponta Grossa (PR),Ponta Grossa,PR,,,,,0.0,0.0,,0.0,0.0,,,4.0,27.7475687,12.62375638,2100.0,3603.140458,4179.642931,,,,515.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,15.0,300.0,486.8728522,4705.0,13383.48107,10318.6639,,,,,,,6100.0,,12.0,,,,,25.0,,,,,,,130.0,,,,,,5550.0,32817.41286,18789.1909,,,,,,,,64900.0,222303.1347,150536.6491,,,54.0,11500.0,26693.41558,44311.06987,130.0,311.5241001,258.5650031,,,17.0
Pontal do Paraná (PR),Pontal do Paraná,PR,,,,,0.0,0.0,,0.0,0.0,,,90.0,624.3202958,284.0345186,,0.0,0.0,,5.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,,,,0.0,0.0,,20.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Porecatu (PR),Porecatu,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,12.0,,,,,,3.0,5.5782,1.004076,3.0,5.5782,1.004076,,0.0,0.0,,8185.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,70.0,,,,3.0,,2870.0,16970.44593,9716.212233,,,,,,,,4100.0,14043.80358,9510.019434,20.0,,2.0,,0.0,0.0,,0.0,0.0,,,
Porto Amazonas (PR),Porto Amazonas,PR,,,,,0.0,0.0,,0.0,0.0,1.0,,1.0,6.936892176,3.155939095,120.0,205.8937405,238.8367389,,,,150.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,2.0,15.0,24.34364261,100.0,284.4523075,219.3127291,,,,,,,800.0,,,,,,,,,,60.0,,,,15.0,,,,,,1400.0,8278.266306,4739.615723,,,,,,,,7550.0,25861.1505,17512.35286,,,,400.0,928.466629,1541.254604,15.0,35.94508847,29.83442343,,,
Porto Barreiro (PR),Porto Barreiro,PR,,,,,0.0,0.0,,0.0,0.0,,1.0,5.0,34.68446088,15.77969548,560.0,960.8374555,1114.571448,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,20.0,,,,1.0,,0.0,,0.0,0.0,,,,,,,3800.0,,295.0,,,,,1.0,,,,,,,50.0,,,,,,1500.0,8869.571042,5078.159703,,,,,,,,10300.0,35280.77485,23891.02443,,,1.0,5500.0,12766.41615,21192.25081,15.0,35.94508847,29.83442343,,,3.0
Porto Rico (PR),Porto Rico,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,1.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,48.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,10.0,,,,,,,475.0,,,,3.0,,10.0,59.13047361,33.85439802,,,,,,,,150.0,513.797692,347.9275403,,,,,0.0,0.0,,0.0,0.0,,,
Porto Vitória (PR),Porto Vitória,PR,,,,,0.0,0.0,,0.0,0.0,1.0,1.0,20.0,138.7378435,63.11878191,,0.0,0.0,,,4.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,8.0,,1.0,,2.0,,0.0,,0.0,0.0,,,,1344.0,,,200.0,2.0,,,,,,3.0,2.0,,,,,,120.0,,,,3.0,1.0,1000.0,5913.047361,3385.439802,,,1.0,4.0,,,,450.0,1541.393076,1043.782621,,5.0,1.0,50.0,116.0583286,192.6568255,,0.0,0.0,,,3.0
Prado Ferreira (PR),Prado Ferreira,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,10.0,18.594,3.34692,10.0,18.594,3.34692,,0.0,0.0,,1564.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,1.0,2.0,,,,,,2.0,1.0,1.0,,,,8700.0,51443.51204,29453.32628,,,,,,,,9200.0,31512.92511,21339.5558,12.0,,,25.0,58.02916431,96.32841276,,0.0,0.0,,,
Pranchita (PR),Pranchita,PR,,,,,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,6.936892176,3.155939095,100.0,171.578117,199.0306158,,5.0,,1.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.0,,1.0,,1.0,,0.0,,0.0,0.0,,,,10.0,,,5100.0,1.0,,,,,,7.0,2.0,,,,,,20.0,,,,3.0,3.0,5100.0,30156.54154,17265.74299,,,1.0,1.0,,,,14250.0,48810.78074,33053.11633,,2.0,3.0,7500.0,17408.74929,28898.52383,,0.0,0.0,,,17.0
Presidente Castelo Branco (PR),Presidente Castelo Branco,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3381.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,223.0,,,,,,,284.0,,,,,,1860.0,10998.26809,6296.918032,,,,,,,,3100.0,10618.48563,7190.502499,,,,,0.0,0.0,,0.0,0.0,,,
Primeiro de Maio (PR),Primeiro de Maio,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,4.0,,,,,,15.0,27.891,5.02038,15.0,27.891,5.02038,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,,22850.0,135113.1322,77357.29948,,,,,,,,22950.0,78611.04687,53232.91366,,,29.0,134.0,311.0363207,516.3202924,,0.0,0.0,,,
Prudentópolis (PR),Prudentópolis,PR,,,,,0.0,0.0,,0.0,0.0,4.0,3.0,45.0,312.1601479,142.0172593,330.0,566.2077863,656.8010321,,5.0,,45.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,38.0,,5.0,,45.0,140.0,227.207331,1000.0,2844.523075,2193.127291,,,,870.0,,,23000.0,,5360.0,,,,,35.0,2.0,,,,,,350.0,,270.0,,25.0,,11400.0,67408.73992,38594.01375,,,5.0,15.0,,,,42550.0,145747.2786,98695.44559,,4.0,3.0,4960.0,11512.9862,19111.55709,120.0,287.5607077,238.6753874,,,65.0
Quarto Centenário (PR),Quarto Centenário,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,3.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,10.0,,,,,,,,,,,,,,15.0,,,,,,25200.0,149008.7935,85313.08302,,,,,,,,25500.0,87345.60763,59147.68185,,,,200.0,464.2333145,770.6273021,,0.0,0.0,,,
Quatiguá (PR),Quatiguá,PR,3.0,,,,0.0,0.0,,0.0,0.0,10.0,1.0,4.0,27.7475687,12.62375638,50.0,85.78905852,99.51530789,,7.0,8.0,,,,,20.0,37.188,6.69384,20.0,37.188,6.69384,,0.0,0.0,,60.0,,,,8.0,,0.0,,0.0,0.0,,,,,,,506.0,,,,,,,2.0,3.0,,,,,,10.0,3.0,2.0,,2.0,4.0,2500.0,14782.6184,8463.599506,,,,,,,,460.0,1575.646255,1066.97779,,,4.0,,0.0,0.0,,0.0,0.0,,,2.0
Quatro Barras (PR),Quatro Barras,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,5.0,,,,0.0,,0.0,0.0,,,,,,,55.0,,,,,,,,,,,,,,20.0,,,,,,30.0,177.3914208,101.5631941,,,1.0,,,,,100.0,342.5317946,231.9516935,,,2.0,5.0,11.60583286,19.26568255,,0.0,0.0,,,3.0
Quatro Pontes (PR),Quatro Pontes,PR,,,,,0.0,0.0,,0.0,0.0,,2.0,,0.0,0.0,25.0,42.89452926,49.75765394,,2.0,2.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,47.0,,,,1.0,,5770.0,34118.28328,19533.98766,,,,,,,,8225.0,28173.24011,19078.02679,,,,85.0,197.2991587,327.5166034,,0.0,0.0,,,1.0
Quedas do Iguaçu (PR),Quedas do Iguaçu,PR,,,,,0.0,0.0,,0.0,0.0,,9.0,20.0,138.7378435,63.11878191,200.0,343.1562341,398.0612316,,8.0,,1.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,1.0,,0.0,,0.0,0.0,,,,,,,16400.0,,46.0,,,,,10.0,,,,,,,345.0,,,,,,6500.0,38434.80785,22005.35872,,,,,,,,35900.0,122968.9143,83270.65797,,,1.0,9500.0,22051.08244,36604.79685,35.0,83.87187309,69.61365467,,,4.0
Querência do Norte (PR),Querência do Norte,PR,,,,,0.0,0.0,,0.0,0.0,,,6400.0,44396.10993,20198.01021,,0.0,0.0,,5.0,10.0,,,,,1.0,1.8594,0.334692,1.0,1.8594,0.334692,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,7.0,,,,,110.0,,,,,,,,,,,,,,2150.0,2.0,2.0,,10.0,,10400.0,61495.69256,35208.57394,,,,,,,,14000.0,47954.45125,32473.23709,,,,27.0,62.67149746,104.0346858,,0.0,0.0,,2.0,
Quinta do Sol (PR),Quinta do Sol,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,100.0,171.578117,199.0306158,,3.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,50.0,,,,,,,,,,,,,,33.0,,,,,,21000.0,124173.9946,71094.23585,,,,,,,,22850.0,78268.51507,53000.96197,,,2.0,400.0,928.466629,1541.254604,,0.0,0.0,,,
Quitandinha (PR),Quitandinha,PR,,,,,0.0,0.0,,0.0,0.0,,,2.0,13.87378435,6.311878191,,0.0,0.0,,,50.0,450.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,2.0,,140.0,,0.0,390.0,1109.363999,855.3196435,,,,48.0,,,790.0,,2273.0,,,,,,5.0,,8.0,,,,28.0,,,,5.0,,2880.0,17029.5764,9750.066631,,,,9.0,,,,12870.0,44083.84197,29852.18296,,,7.0,300.0,696.3499718,1155.940953,,0.0,0.0,,,15.0
Ramilândia (PR),Ramilândia,PR,,,,,0.0,0.0,,0.0,0.0,1.0,2.0,,0.0,0.0,,0.0,0.0,,13.0,15.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,10.0,,,,,,0.0,,0.0,0.0,,,,13.0,,,20.0,,,,4.0,,,,4.0,,,,,,50.0,4.0,,,2.0,2.0,2750.0,16260.88024,9309.959456,8.0,,,,,,,4600.0,15756.46255,10669.7779,,9.0,,1250.0,2901.458216,4816.420638,,0.0,0.0,,,3.0
Rancho Alegre (PR),Rancho Alegre,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,27.0,,,,,,2.0,3.7188,0.669384,2.0,3.7188,0.669384,,0.0,0.0,,539.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,190.0,,,,,,,2.0,1.0,,,,,12103.0,71565.61221,40973.97793,,,,,,,,11242.0,38507.42435,26076.00938,,4.0,6.0,,0.0,0.0,,0.0,0.0,,,1.0
Rancho Alegre D'Oeste (PR),Rancho Alegre D'Oeste,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,18500.0,109391.3762,62630.63634,,,,,,,,19300.0,66108.63637,44766.67685,,,,150.0,348.1749859,577.9704766,,0.0,0.0,,,
Realeza (PR),Realeza,PR,,,,,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,6.936892176,3.155939095,50.0,85.78905852,99.51530789,,13.0,,1.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,8.0,,1.0,,1.0,,0.0,,0.0,0.0,,,,7.0,,,1700.0,,50.0,,,,,11.0,1.0,,,,,,130.0,,,,3.0,1.0,4000.0,23652.18945,13541.75921,,,1.0,1.0,,,,17100.0,58572.93688,39663.73959,,9.0,2.0,10000.0,23211.66573,38531.3651,,0.0,0.0,,,24.0
Rebouças (PR),Rebouças,PR,,,,,0.0,0.0,,0.0,0.0,10.0,,8.0,55.49513741,25.24751276,1000.0,1715.78117,1990.306158,,,,300.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,100.0,80.0,129.8327606,300.0,853.3569226,657.9381873,,,,430.0,,,6100.0,,2000.0,,,,,8.0,4.0,,,,,,50.0,,5.0,,24.0,,3300.0,19513.05629,11171.95135,,,2.0,11.0,,,,23500.0,80494.97174,54508.64798,,7.0,5.0,2000.0,4642.333145,7706.273021,80.0,191.7071385,159.116925,,,15.0
Renascença (PR),Renascença,PR,,,,,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,0.0,3000.0,5147.343511,5970.918473,,3.0,7.0,1.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.0,,1.0,,1.0,,0.0,,0.0,0.0,,,,3.0,,,12800.0,,2.0,,,,,5.0,1.0,,,,,,10.0,,,,5.0,1.0,1900.0,11234.78999,6432.335624,,,1.0,1.0,,,,27300.0,93511.17994,63322.81233,,6.0,2.0,8000.0,18569.33258,30825.09208,,0.0,0.0,,,4.0
Reserva (PR),Reserva,PR,1.0,,,,0.0,0.0,,0.0,0.0,,,5.0,34.68446088,15.77969548,2000.0,3431.562341,3980.612316,,4.0,,10.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,3.0,10.0,16.22909507,80.0,227.561846,175.4501833,,,,,,,2650.0,,8.0,,,,,5.0,2.0,,,,,,52.0,,2.0,,22.0,,4100.0,24243.49418,13880.30319,,,,9.0,,,,27050.0,92654.85045,62742.9331,,2.0,565.0,5000.0,11605.83286,19265.68255,150.0,359.4508847,298.3442343,,,10.0
Reserva do Iguaçu (PR),Reserva do Iguaçu,PR,,,,,0.0,0.0,,0.0,0.0,1.0,1.0,3.0,20.81067653,9.467817286,360.0,617.6812214,716.5102168,,4.0,5.0,265.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,,,,73.0,,0.0,2520.0,7168.19815,5526.680773,,,,406.0,,,1600.0,,,,,,,8.0,,,,,,,60.0,,,,6.0,,3770.0,22292.18855,12763.10805,,,,2.0,,,,16980.0,58161.89873,39385.39756,,,1.0,1500.0,3481.749859,5779.704766,100.0,239.6339231,198.8961562,,,6.0
Ribeirão Claro (PR),Ribeirão Claro,PR,10.0,,,,0.0,0.0,,0.0,0.0,3.0,2.0,3.0,20.81067653,9.467817286,,0.0,0.0,,20.0,10.0,,,,,653.0,1214.1882,218.553876,653.0,1214.1882,218.553876,,0.0,0.0,,250.0,,,,,,0.0,,0.0,0.0,,,,,,,195.0,,,,20.0,,,,3.0,,,,,,80.0,1.0,10.0,,3.0,,1520.0,8987.831989,5145.8685,,,,,,,,1800.0,6165.572303,4175.130483,,,4.0,600.0,1392.699944,2311.881906,,0.0,0.0,,,3.0
Ribeirão do Pinhal (PR),Ribeirão do Pinhal,PR,,,,,0.0,0.0,,0.0,0.0,,,9.0,62.43202958,28.40345186,,0.0,0.0,,4.0,,,,,,476.0,885.0744,159.313392,476.0,885.0744,159.313392,,0.0,0.0,,320.0,,,,,,0.0,,0.0,0.0,,,,,,,103.0,,,,,,,30.0,,,,,,,40.0,,2.0,,,,11280.0,66699.17424,38187.76097,,,,,,,,12700.0,43501.53792,29457.86508,350.0,,4.0,4000.0,9284.66629,15412.54604,,0.0,0.0,,,
Rio Azul (PR),Rio Azul,PR,,,,,0.0,0.0,,0.0,0.0,1.0,,10.0,69.36892176,31.55939095,200.0,343.1562341,398.0612316,,,25.0,80.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,2.0,,15.0,50.0,81.14547537,100.0,284.4523075,219.3127291,,,,500.0,,,3768.0,,6408.0,,,,,,,,,,,,30.0,,,,,,3700.0,21878.27524,12526.12727,,,,7.0,,,,18800.0,64395.97739,43606.91838,,,2.0,400.0,928.466629,1541.254604,50.0,119.8169616,99.4480781,,,13.0
Rio Bom (PR),Rio Bom,PR,,,,,0.0,0.0,,0.0,0.0,,3.0,2.0,13.87378435,6.311878191,200.0,343.1562341,398.0612316,,40.0,,,,,,2.0,3.7188,0.669384,2.0,3.7188,0.669384,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,10.0,,130.0,,,,,,,,,,,,6.0,,1.0,,,,3150.0,18626.09919,10664.13538,,,,,,,,6650.0,22778.36434,15424.78762,,,6.0,3000.0,6963.499718,11559.40953,,0.0,0.0,,,1.0
Rio Bonito do Iguaçu (PR),Rio Bonito do Iguaçu,PR,,,,,0.0,0.0,,0.0,0.0,,10.0,30.0,208.1067653,94.67817286,530.0,909.3640204,1054.862264,,6.0,,2.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,80.0,,,,1.0,,0.0,,0.0,0.0,,,,,,,20500.0,,122.0,,,,,6.0,,,,,,,395.0,,,,,,4000.0,23652.18945,13541.75921,,,,,,,,31200.0,106869.9199,72368.92838,,,1.0,9200.0,21354.73247,35448.8559,10.0,23.96339231,19.88961562,,,7.0
Rio Branco do Ivaí (PR),Rio Branco do Ivaí,PR,,,,,0.0,0.0,,0.0,0.0,,1.0,1.0,6.936892176,3.155939095,,0.0,0.0,,,6.0,,,,,10.0,18.594,3.34692,10.0,18.594,3.34692,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,35.0,,,,,,,,,,,,,,30.0,,2.0,,,,7220.0,42692.20195,24442.87537,,,,,,,,12600.0,43159.00612,29225.91338,,,5.0,4900.0,11373.71621,18880.3689,,0.0,0.0,,,
Rio Branco do Sul (PR),Rio Branco do Sul,PR,,,,,0.0,0.0,,0.0,0.0,,,3.0,20.81067653,9.467817286,,0.0,0.0,,10.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,40.0,,,,,,0.0,,0.0,0.0,,,,,,,355.0,,,,,,,7.0,,,,,,,190.0,,,,,,50.0,295.6523681,169.2719901,,,,,,,,170.0,582.3040509,394.317879,,550.0,2.0,,0.0,0.0,,0.0,0.0,,,20.0
Rio Negro (PR),Rio Negro,PR,,,,,0.0,0.0,,0.0,0.0,,,2.0,13.87378435,6.311878191,,0.0,0.0,,,15.0,170.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,3.0,,45.0,,0.0,,0.0,0.0,,,,15.0,,,560.0,,1995.0,,,,,,,,15.0,,,,60.0,,,,8.0,,2400.0,14191.31367,8125.055526,,,,4.0,,,,11385.0,38997.24482,26407.70031,,,4.0,135.0,313.3574873,520.1734289,,0.0,0.0,,,42.0
Rolândia (PR),Rolândia,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,3.0,,,,,,300.0,557.82,100.4076,300.0,557.82,100.4076,,0.0,0.0,,74.0,,,,,,0.0,,0.0,0.0,,3.0,,,,,5.0,,,,,,,82.0,,,,,,,45.0,,,,2.0,,9150.0,54104.38336,30976.77419,,,,,,,,32500.0,111322.8333,75384.30039,,,3.0,20700.0,48048.14805,79759.92577,,0.0,0.0,,,3.0
Roncador (PR),Roncador,PR,,,,,0.0,0.0,,0.0,0.0,,1.0,,0.0,0.0,1200.0,2058.937405,2388.367389,,3.0,1.0,,,,,10.0,18.594,3.34692,10.0,18.594,3.34692,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,25.0,,,2800.0,,2.0,,,,,3.0,3.0,,,,,,8.0,,1.0,,3.0,,8200.0,48486.98836,27760.60638,,,,7.0,,,,34400.0,117830.9374,79791.38257,,2.0,,14250.0,33076.62366,54907.19527,890.0,2132.741916,1770.17579,,,1.0
Rondon (PR),Rondon,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,2.0,7.0,,12.0,,,34.0,63.2196,11.379528,34.0,63.2196,11.379528,,0.0,0.0,,15847.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,305.0,1.0,,,,,,756.0,,1.0,,3.0,,340.0,2010.436103,1151.049533,1.0,,,,,,,450.0,1541.393076,1043.782621,,,,,0.0,0.0,,0.0,0.0,,,
Rosário do Ivaí (PR),Rosário do Ivaí,PR,,,,,0.0,0.0,,0.0,0.0,,,1.0,6.936892176,3.155939095,,0.0,0.0,,4.0,,,,,,15.0,27.891,5.02038,15.0,27.891,5.02038,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,35.0,,,,,,,2.0,,,,,2.0,,30.0,,6.0,,2.0,,400.0,2365.218945,1354.175921,,,,,,,,4200.0,14386.33537,9741.971128,,,5.0,950.0,2205.108244,3660.479685,,0.0,0.0,,,150.0
Sabáudia (PR),Sabáudia,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,3.0,,,,,,5.0,9.297,1.67346,5.0,9.297,1.67346,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,76.0,1.0,,,,,,4.0,1.0,,,,,8850.0,52330.46915,29961.14225,,,,,,,,11000.0,37678.49741,25514.68629,,,5.0,1500.0,3481.749859,5779.704766,,0.0,0.0,,,1.0
Salgado Filho (PR),Salgado Filho,PR,,,,,0.0,0.0,,0.0,0.0,1.0,2.0,1.0,6.936892176,3.155939095,20.0,34.31562341,39.80612316,,9.0,12.0,1.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,25.0,,1.0,,1.0,,0.0,,0.0,0.0,,,,1.0,,,280.0,1.0,37.0,,,,,10.0,2.0,,,,,,30.0,,2.0,,10.0,3.0,2000.0,11826.09472,6770.879605,1.0,,1.0,2.0,,,,3330.0,11406.30876,7723.991394,,5.0,2.0,1000.0,2321.166573,3853.13651,,0.0,0.0,,,59.0
Salto do Itararé (PR),Salto do Itararé,PR,2.0,,,,0.0,0.0,,0.0,0.0,2.0,2.0,4.0,27.7475687,12.62375638,250.0,428.9452926,497.5765394,,12.0,5.0,,,,,289.0,537.3666,96.725988,289.0,537.3666,96.725988,,0.0,0.0,,150.0,,,,3.0,,0.0,,0.0,0.0,,,,,,,240.0,,,,3.0,,,2.0,,,,,,,60.0,2.0,7.0,,8.0,,1820.0,10761.7462,6161.50044,,,,,,,,4100.0,14043.80358,9510.019434,,,3.0,1100.0,2553.28323,4238.450161,,0.0,0.0,,,
Salto do Lontra (PR),Salto do Lontra,PR,,,,,0.0,0.0,,0.0,0.0,1.0,2.0,1.0,6.936892176,3.155939095,50.0,85.78905852,99.51530789,,10.0,,1.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,23.0,,2.0,,1.0,,0.0,,0.0,0.0,,,,19.0,,,3660.0,1.0,76.0,,,,,10.0,1.0,,,,1.0,,50.0,,,,15.0,5.0,1500.0,8869.571042,5078.159703,,,1.0,3.0,,,,13100.0,44871.6651,30385.67185,,6.0,3.0,6000.0,13926.99944,23118.81906,,0.0,0.0,,,13.0
Santa Amélia (PR),Santa Amélia,PR,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,181.0,310.5563919,360.2454146,,92.0,4.0,,,,,111.0,206.3934,37.150812,111.0,206.3934,37.150812,,0.0,0.0,,191.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,30.0,,,,,,,4.0,,1.0,,3.0,,1990.0,11766.96425,6737.025207,,,,,,,,4204.0,14400.03665,9751.249195,20.0,,5.0,1438.0,3337.837531,5540.810302,,0.0,0.0,,,
Santa Cecília do Pavão (PR),Santa Cecília do Pavão,PR,,,,,0.0,0.0,,0.0,0.0,,,1.0,6.936892176,3.155939095,50.0,85.78905852,99.51530789,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,3.0,,,,,,,60.0,,,,,,,11.0,,,,,,202.0,1194.435567,683.8588401,,,,,,,,5670.0,19421.55276,13151.66102,,,29.0,4888.0,11345.86221,18834.13126,,0.0,0.0,,,
